Method,Description,Worst-case,Optimal
is_empty(),Checks if the circular linked list is empty.,O(1),O(1)
__len__(),Returns the nodes count in the circular linked list.,O(1),O(1)
__repr__(),Represents the circular linked list as a string.,O(n),O(n)
__iter__(),Iterates over the circular linked list.,O(n),O(n)
__eq__(),Checks the items equality of two circular linked lists.,O(min(n;m)),O(min(n;m))
__ne__(),Checks the items inequality of two circular lists.,O(min(n;m)),O(min(n;m))
__lt__(),Checks if the circular linked list is < the other.,O(min(n;m)),O(min(n;m))
__le__(),Checks if the circular linked list is <= the other.,O(min(n;m)),O(min(n;m))
__gt__(),Checks if the circular linked list is > the other.,O(min(n;m)),O(min(n;m))
__gt__(),Checks if the circular linked list is >= the other.,O(min(n;m)),O(min(n;m))
__contains__(),Checks the existence of the given item in the list.,O(n),O(n)
__getitem__(),Returns the element at the given index.,O(k%n),O(k%n)
add_front(),Adds the given item at the head of the circular list.,O(1),O(1)
add_end(),Adds the given item at the tail of the circular list.,O(n),O(n)
insert(),Adds the given item at the given index.,O(k%n),O(k%n)
__setitem__(),Replaces the value at the given index with given value.,O(k%n),O(k%n)
__delitem__(),Deletes the value at the given index.,O(k%n),O(k%n)
remove_front(),Removes the node at the head of the circular list.,O(1),O(1)
remove_end(),Removes the node at the tail of the circular list.,O(n),O(n)
remove(),Removes a given value from the circular list if found.,O(n),O(n)
clear(),Clears the whole circular linked list.,O(1),O(1)
split(),Splits the circular list into two at the given index.,O(k%n),O(k%n)
extend(),Extends the circular linked list using another one.,O(n+m),O(n+m)
rotate_left(),Left-rotates the circular list by the given value.,O(k%n),O(k%n)
rotate_right(),Right-rotates the circular list by the given value.,O(k%n),O(k%n)
reverse(),Reverses the circular linked list.,O(n),O(n)
to_list(),Converts the circular linked list to a normal list.,O(n),O(n)
count(),Counts the occurrences of the given value in the list.,O(n),O(n)
copy(),Shallow-copies the circular linked list.,O(n),O(n)
